city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
1,Afghanistan,Herat,34.34817,62.19967,752.91,204,KARACHI,24.81,66.97,1157,,,,,,
2,Afghanistan,Kabul,34.528887,69.17246,4877.024,204,KARACHI,24.81,66.97,1103,,,,,,
3,Afghanistan,Kandahar,31.61332,65.71013,577.128,204,KARACHI,24.81,66.97,767,,,,,,
4,Afghanistan,Mazar-e Sharif,36.70904,67.11087,681.531,204,KARACHI,24.81,66.97,1325,,,,,,
5,Albania,Tiranë (Tirana),41.3275,19.81889,535.702,1075,BAR,42.08,19.08,104,,,,,,
6,Algeria,Annaba,36.9,7.76667,379.346,104,CAGLIARI,39.2,9.17,284,,,,,,
7,Algeria,Batna,35.55597,6.17414,358.478,104,CAGLIARI,39.2,9.17,484,,,,,,
8,Algeria,Blida,36.480781,2.831943,535.641,1892,PALMA_DE_MALLORCA,39.55,2.64,342,,,,,,
9,Algeria,El Djazaïr  (Algiers),36.7525,3.04197,3004.133,1892,PALMA_DE_MALLORCA,39.55,2.64,313,,,,,,
10,Algeria,El Djelfa,34.67279,3.263,606.968,960,ALICANTE,38.34,-0.48,528,,,,,,
11,Algeria,Qacentina,36.354921,6.607293,426.746,104,CAGLIARI,39.2,9.17,389,,,,,,
12,Algeria,Sétif,36.19112,5.41373,344.671,1892,PALMA_DE_MALLORCA,39.55,2.64,446,,,,,,
13,Algeria,Wahran (Oran),35.69111,-0.64167,966.494,1455,ALMERIA,36.83,-2.48,208,,,,,,
14,Angola,Benguela,-12.576,13.405,878.004,914,WALVIS_BAY,-22.95,14.5,1161,,,,,,
15,Angola,Cabinda,-5.55,12.2,990.695,1049,TEMA,5.62,0.0,1840,,,,,,
16,Angola,Cuito,-12.383,16.933,704.349,914,WALVIS_BAY,-22.95,14.5,1204,,,,,,
17,Angola,Huambo,-12.77611,15.73917,777.336,914,WALVIS_BAY,-22.95,14.5,1140,,,,,,
18,Angola,Lobito,-12.364,13.536,505.576,914,WALVIS_BAY,-22.95,14.5,1183,,,,,,
19,Angola,Luanda,-8.83682,13.23432,10027.897,914,WALVIS_BAY,-22.95,14.5,1577,,,,,,
20,Angola,Lubango,-14.91717,13.4925,1047.806,914,WALVIS_BAY,-22.95,14.5,900,,,,,,
21,Angola,Malanje,-9.54,16.341,861.38,914,WALVIS_BAY,-22.95,14.5,1506,,,,,,
22,Angola,Uige,-7.1069,15.4406,686.667,914,WALVIS_BAY,-22.95,14.5,1766,,,,,,
23,Argentina,Bahia Blanca,-38.7196,-62.27243,327.329,223,QUEQUEN,-38.58,-58.7,311,,,,,,
24,Argentina,Buenos Aires,-34.605083,-58.400368,15752.275,157,BUENOS_AIRES,-34.6,-58.37,3,0.21170588235294116,0.522,1.8542941176470584,0.21070588235294113,0.5195000000000001,1.851147058823529
25,Argentina,Córdoba,-31.4135,-64.18105,1640.599,832,PALERMO,-34.57,-58.4,644,,,,,,
26,Argentina,Corrientes,-27.4806,-58.8341,432.527,433,COLONIA,-34.48,-57.85,785,,,,,,
27,Argentina,La Plata,-34.92145,-57.95453,933.193,433,COLONIA,-34.48,-57.85,50,0.20170588235294118,0.514,1.8501176470588232,0.21070588235294113,0.5205,1.8566764705882348
28,Argentina,Mar Del Plata,-38.00228,-57.55754,698.471,857,MAR_DEL_PLATA,-38.03,-57.53,4,0.16241176470588234,0.474,1.814382352941176,0.20755882352941177,0.516,1.8538235294117642
29,Argentina,Mendoza,-32.89084,-68.82717,1257.182,499,VALPARAISO,-33.03,-71.63,262,,,,,,
30,Argentina,Neuquén-Plottier-Cipolletti,-38.95143,-68.064809,439.389,2262,CORRAL_II,-39.88,-73.42,472,,,,,,
31,Argentina,Posadas,-27.36708,-55.89608,419.963,542,IMBITUBA,-28.23,-48.65,720,,,,,,
32,Argentina,Resistencia,-27.46056,-58.98389,456.388,433,COLONIA,-34.48,-57.85,789,,,,,,
33,Argentina,Rosario,-32.94682,-60.63932,1631.093,832,PALERMO,-34.57,-58.4,275,,,,,,
34,Argentina,Salta,-24.7859,-65.41166,737.555,510,ANTOFAGASTA_2,-23.65,-70.4,522,,,,,,
35,Argentina,San Juan,-31.5375,-68.53639,560.819,499,VALPARAISO,-33.03,-71.63,335,,,,,,
36,Argentina,San Miguel de Tucumán,-26.82414,-65.2226,1051.043,619,CALDERA,-27.07,-70.83,557,,,,,,
37,Argentina,San Salvador de Jujuy,-24.19456,-65.29712,383.507,510,ANTOFAGASTA_2,-23.65,-70.4,523,,,,,,
38,Argentina,Santa Fe,-31.632717,-60.698281,596.474,832,PALERMO,-34.57,-58.4,391,,,,,,
39,Argentina,Santiago Del Estero,-27.79511,-64.26149,464.131,619,CALDERA,-27.07,-70.83,654,,,,,,
40,Armenia,Yerevan,40.181998,44.514619,1100.237,51,BATUMI,41.63,41.7,286,,,,,,
41,Australia,Adelaide,-34.92866,138.59863,1392.943,448,PORT_ADELAIDE,-34.78,138.48,20,0.256735294117647,0.5660000000000001,1.909794117647058,0.22688235294117648,0.532,1.8757941176470583
42,Australia,Brisbane,-27.46794,153.02809,2568.173,822,BRISBANE,-27.37,153.17,18,0.20088235294117646,0.5325,2.0069999999999997,0.25302941176470584,0.5775,2.055647058823529
43,Australia,Canberra,-35.28346,149.12807,482.986,2312,JERVIS_BAY_II,-35.12,150.71,145,,,,,,
44,Australia,Central Coast,-33.42,151.39583,347.43,549,CAMP_COVE,-33.83,151.28,47,0.18488235294117647,0.532,1.976441176470588,0.24488235294117644,0.5905,2.0379999999999994
45,Australia,Gold Coast-Tweed Head,-28.00029,153.43088,752.57,1704,GOLD_COAST_SEAWAY_2,-27.95,153.42,6,0.20988235294117646,0.5405,2.0147352941176466,0.25302941176470584,0.5785,2.056382352941176
46,Australia,Melbourne,-37.814,144.96332,5391.886,1033,STONY_POINT,-38.37,145.22,66,0.16273529411764703,0.487,1.8221176470588232,0.22573529411764703,0.5305,1.865176470588235
47,Australia,Newcastle-Maitland,-32.924878,151.740852,469.794,837,NEWCASTLE_V,-32.92,151.79,5,0.22888235294117645,0.573,2.03,0.24973529411764703,0.5920000000000001,2.048294117647058
48,Australia,Perth,-31.947841,115.852514,2169.192,111,FREMANTLE,-32.06,115.74,16,0.23461764705882354,0.5785,2.0067941176470585,0.2137647058823529,0.5575,1.9870588235294115
49,Australia,Sunshine Coast,-26.66008,153.09953,376.114,1493,MOOLOOLABA_2,-26.68,153.13,4,0.19988235294117648,0.5335,2.014088235294117,0.25302941176470584,0.5795,2.064441176470588
50,Australia,Sydney,-33.86785,151.20732,5248.788,196,SYDNEY,-33.85,151.23,3,0.18288235294117647,0.53,1.973882352941176,0.24402941176470588,0.5905,2.036441176470588
51,Australia,Wollongong,-34.424,150.89345,318.535,831,PORT_KEMBLA,-34.47,150.91,5,0.16202941176470587,0.516,1.9599411764705879,0.24102941176470588,0.5925,2.0365294117647057
52,Austria,Wien (Vienna),48.206443,16.370725,2005.497,154,TRIESTE,45.65,13.76,347,,,,,,
53,Azerbaijan,Baku,40.37767,49.89201,2496.495,51,BATUMI,41.63,41.7,702,,,,,,
54,Azerbaijan,Gäncä,40.68278,46.36056,359.663,51,BATUMI,41.63,41.7,405,,,,,,
55,Azerbaijan,Sumquayit,40.58972,49.66861,378.08,51,BATUMI,41.63,41.7,678,,,,,,
56,Bahrain,Al-Manamah (Manama),26.21536,50.5832,743.066,1887,MASIRAH,20.68,58.87,1046,,,,,,
57,Bangladesh,Barisal,22.70194,90.37111,565.243,1496,CHARCHANGA,22.22,91.05,88,0.2133235294117647,0.6595,2.129117647058823,0.18702941176470586,0.5195000000000001,1.9658235294117645
58,Bangladesh,Bogra,24.85,89.36667,981.223,1002,TRIBENI,22.98,88.4,230,,,,,,
59,Bangladesh,Chittagong,22.33306,91.83639,5653.493,1496,CHARCHANGA,22.22,91.05,82,0.2133235294117647,0.6595,2.129117647058823,0.18702941176470586,0.5195000000000001,1.9658235294117645
60,Bangladesh,Comilla,23.45778,91.20444,690.86,1496,CHARCHANGA,22.22,91.05,139,,,,,,
61,Bangladesh,Dhaka,23.7104,90.40744,24652.864,1496,CHARCHANGA,22.22,91.05,178,,,,,,
62,Bangladesh,Khulna,22.80978,89.56439,980.2,1454,KHEPUPARA,21.83,89.83,112,,,,,,
63,Bangladesh,Mymensingh,24.75,90.4,509.237,1002,TRIBENI,22.98,88.4,283,,,,,,
64,Bangladesh,Rajshahi,24.36667,88.6,1007.015,1002,TRIBENI,22.98,88.4,156,,,,,,
65,Bangladesh,Rangpur,25.75,89.25,456.821,1002,TRIBENI,22.98,88.4,320,,,,,,
66,Bangladesh,Rupganj,23.792554,90.520591,662.138,1496,CHARCHANGA,22.22,91.05,183,,,,,,
67,Bangladesh,Sylhet,24.89667,91.87167,1032.982,1496,CHARCHANGA,22.22,91.05,310,,,,,,
