location,lat,lon,gauge_id,gauge_name
1.0,48.38,-4.49,1.0,BREST
2.0,53.92,14.23,2.0,SWINOUJSCIE
3.0,51.45,0.74,3.0,SHEERNESS
5.0,53.31,-4.62,5.0,HOLYHEAD
7.0,53.87,8.72,7.0,CUXHAVEN_2
8.0,53.9,11.46,8.0,WISMAR_2
9.0,51.92,4.25,9.0,MAASSLUIS
10.0,37.81,-122.47,10.0,SAN_FRANCISCO
11.0,54.17,12.1,11.0,WARNEMUNDE_2
12.0,40.7,-74.01,12.0,NEW_YORK
13.0,53.96,10.87,13.0,TRAVEMUNDE
14.0,60.15,24.96,14.0,HELSINKI
15.0,53.4,-3.0,15.0,LIVERPOOL_GEORGES_AND_PRINCES_PIERS
16.0,60.85,21.18,16.0,LYOKKI
17.0,60.6,21.23,17.0,LYPYRTTI
18.0,59.95,22.37,18.0,JUNGFRUSUND
20.0,51.44,3.6,20.0,VLISSINGEN
21.0,57.15,-2.08,21.0,ABERDEEN_II
22.0,51.98,4.12,22.0,HOEK_VAN_HOLLAND
23.0,52.96,4.75,23.0,DEN_HELDER
24.0,53.33,6.93,24.0,DELFZIJL
25.0,53.18,5.41,25.0,HARLINGEN
26.0,56.53,20.98,26.0,LIEPAJA
27.0,59.78,21.37,27.0,UTO
28.0,59.77,22.95,28.0,RUSSARO
29.0,60.12,25.42,29.0,SODERSKAR
30.0,63.07,20.8,30.0,RONNSKAR
31.0,59.2,17.62,31.0,NEDRE_SODERTALJE
32.0,52.46,4.55,32.0,IJMUIDEN
33.0,59.68,10.6,33.0,OSCARSBORG
34.0,63.43,10.43,34.0,TRONDHEIM
37.0,57.05,24.03,37.0,DAUGAVGRIVA
39.0,45.42,12.33,39.0,VENEZIA
41.0,42.17,41.68,41.0,POTI
42.0,44.62,33.53,42.0,SEVASTOPOL
43.0,18.92,72.83,43.0,MUMBAI
44.0,12.79,44.97,44.0,ADEN
45.0,68.21,14.48,45.0,KABELVAG
47.0,58.97,5.73,47.0,STAVANGER
48.0,22.53,88.33,48.0,KIDDERPORE
51.0,41.63,41.7,51.0,BATUMI
52.0,38.68,-9.42,52.0,CASCAIS
57.0,63.08,21.57,57.0,VAASA
58.0,60.4,5.32,58.0,BERGEN
59.0,44.4,8.9,59.0,GENOVA
61.0,43.28,5.35,61.0,MARSEILLE
62.0,59.91,10.73,62.0,OSLO
63.0,60.03,19.88,63.0,KOBBAKLINTAR
64.0,54.4,18.68,64.0,GDANSK/NOWY_PORT
65.0,-33.85,151.23,65.0,SYDNEY
68.0,58.74,17.87,68.0,LANDSORT
69.0,57.37,17.1,69.0,OLANDS_NORRA_UDDE
70.0,56.11,15.59,70.0,KUNGSHOLMSFORT
71.0,59.82,22.98,71.0,HANKO
72.0,55.42,13.82,72.0,YSTAD
73.0,57.1,12.22,73.0,VARBERG
76.0,56.15,10.22,76.0,AARHUS
77.0,59.28,19.03,77.0,GRONSKAR
78.0,59.32,18.08,78.0,STOCKHOLM
79.0,65.04,25.42,79.0,OULU
80.0,55.46,8.44,80.0,ESBJERG
81.0,55.56,9.75,81.0,FREDERICIA
82.0,55.7,12.6,82.0,KOBENHAVN
83.0,60.7,28.73,83.0,VYBORG
84.0,60.1,20.02,84.0,LEMSTROM
86.0,63.83,23.03,86.0,YKSPIHLAJA
87.0,45.42,12.35,87.0,VENEZIA
88.0,63.99,20.89,88.0,RATAN
89.0,57.6,9.96,89.0,HIRTSHALS
90.0,60.63,17.97,90.0,BJORN
91.0,57.44,10.55,91.0,FREDERIKSHAVN
94.0,34.9,132.07,94.0,TONOURA
95.0,55.01,-1.44,95.0,NORTH_SHIELDS
96.0,44.67,-63.58,96.0,HALIFAX
97.0,58.37,11.25,97.0,BACKEVIK
98.0,55.29,10.83,98.0,SLIPSHAVN
99.0,60.68,17.17,99.0,NEDRE_GAVLE
104.0,39.2,9.17,104.0,CAGLIARI
105.0,40.84,14.26,105.0,NAPOLI
106.0,42.05,11.82,106.0,CIVITAVECCHIA
107.0,38.13,13.33,107.0,PALERMO
108.0,43.87,8.02,108.0,PORTO_MAURIZIO
111.0,-32.06,115.74,111.0,FREMANTLE
112.0,30.67,-81.47,112.0,FERNANDINA_BEACH
113.0,55.33,11.14,113.0,KORSOR
118.0,55.7,21.13,118.0,KLAIPEDA
119.0,56.09,12.46,119.0,HORNBAEK
120.0,54.57,11.93,120.0,GEDSER
122.0,62.37,17.53,122.0,DRAGHALLAN
127.0,47.6,-122.34,127.0,SEATTLE
129.0,40.87,14.27,129.0,NAPOLI
130.0,35.16,139.62,130.0,ABURATSUBO
131.0,38.3,141.51,131.0,AYUKAWA
132.0,37.41,136.9,132.0,WAJIMA
133.0,32.43,131.67,133.0,HOSOJIMA
134.0,33.48,135.77,134.0,KUSHIMOTO
135.0,39.93,-75.14,135.0,PHILADELPHIA
138.0,48.52,-68.47,138.0,POINTE-AU-PERE
139.0,43.28,145.58,139.0,HANASAKI
140.0,58.95,11.18,140.0,STROMSTAD
142.0,60.1,23.55,142.0,SKURU
145.0,14.58,120.97,145.0,MANILA
146.0,54.6,18.8,146.0,HEL
148.0,39.27,-76.58,148.0,BALTIMORE
150.0,-36.84,174.77,150.0,AUCKLAND_II
154.0,45.65,13.76,154.0,TRIESTE
155.0,21.31,-157.87,155.0,HONOLULU
157.0,-34.6,-58.37,157.0,BUENOS_AIRES
158.0,32.71,-117.17,158.0,SAN_DIEGO
159.0,43.22,140.87,159.0,OSHORO_I
161.0,29.31,-94.79,161.0,GALVESTON_II
162.0,37.1,-8.67,162.0,LAGOS
163.0,8.97,-79.57,163.0,BALBOA
164.0,60.45,26.95,164.0,KOTKA
165.0,49.15,-125.92,165.0,TOFINO
166.0,48.42,-123.37,166.0,VICTORIA
167.0,54.32,-130.33,167.0,PRINCE_RUPERT
168.0,45.43,12.33,168.0,VENEZIA
169.0,9.35,-79.92,169.0,CRISTOBAL
172.0,61.59,21.46,172.0,MANTYLUOTO
174.0,11.8,99.82,174.0,KO_LAK
175.0,49.28,-123.12,175.0,VANCOUVER
176.0,50.5,-59.48,176.0,HARRINGTON_HBR
179.0,58.35,11.22,179.0,SMOGEN
180.0,39.35,-74.42,180.0,ATLANTIC_CITY
183.0,43.66,-70.25,183.0,PORTLAND 
188.0,24.55,-81.81,188.0,KEY_WEST
189.0,-20.32,118.57,189.0,PORT_HEDLAND
190.0,56.01,-2.52,190.0,DUNBAR
193.0,49.33,-123.25,193.0,POINT_ATKINSON
194.0,63.71,22.69,194.0,PIETARSAARI 
195.0,45.27,-66.07,195.0,SAINT_JOHN
196.0,-33.85,151.23,196.0,SYDNEY
202.0,50.1,-5.54,202.0,NEWLYN
203.0,64.92,21.23,203.0,FURUOGRUND
204.0,24.81,66.97,204.0,KARACHI
205.0,13.1,80.3,205.0,CHENNAI
208.0,38.34,-0.48,208.0,ALICANTE
209.0,36.53,-6.31,209.0,CADIZ_II
210.0,16.77,96.17,210.0,RANGOON
213.0,-46.6,168.35,213.0,BLUFF
214.0,51.96,1.35,214.0,FELIXSTOWE
215.0,44.1,39.07,215.0,TUAPSE
216.0,-33.18,138.01,216.0,PORT_PIRIE
217.0,-36.84,174.77,217.0,AUCKLAND-WAITEMATA_HARBOUR
219.0,54.6,-5.92,219.0,BELFAST_2
221.0,-41.28,174.78,221.0,WELLINGTON_HARBOUR
223.0,-38.58,-58.7,223.0,QUEQUEN
224.0,38.78,-75.12,224.0,LEWES
225.0,55.33,-131.62,225.0,KETCHIKAN
226.0,61.48,21.33,226.0,SAPPI
227.0,60.08,26.98,227.0,SUR_SARI
229.0,65.67,24.52,229.0,KEMI
230.0,-34.72,135.87,230.0,PORT_LINCOLN
231.0,60.2,19.3,231.0,HELIGMAN
234.0,32.78,-79.92,234.0,CHARLESTON_I
235.0,42.35,-71.05,235.0,BOSTON
236.0,53.36,5.22,236.0,WEST-TERSCHELLING
237.0,60.35,28.62,237.0,PRIMORSK
238.0,59.85,23.25,238.0,TVARMINNE
239.0,60.43,22.1,239.0,TURKU
240.0,64.67,24.41,240.0,RAAHE
245.0,33.72,-118.27,245.0,LOS_ANGELES
246.0,30.4,-87.21,246.0,PENSACOLA
247.0,-43.61,172.72,247.0,PORT_LYTTELTON
248.0,1.46,103.79,248.0,JOHOR_BAHRU
249.0,60.03,20.38,249.0,FOGLO
253.0,31.25,32.3,253.0,PORT_SAID
255.0,51.11,1.32,255.0,DOVER
256.0,32.87,-117.26,256.0,LA_JOLLA
258.0,37.74,-25.67,258.0,PONTA_DELGADA
259.0,-43.61,172.72,259.0,LYTTELTON_II
260.0,6.07,121.0,260.0,JOLO
265.0,46.21,-123.77,265.0,ASTORIA
266.0,60.12,-149.43,266.0,SEWARD
267.0,-32.92,151.8,267.0,NEWCASTLE_III
269.0,22.2,113.55,269.0,MACAU
270.0,29.23,-81.0,270.0,DAYTONA_BEACH
271.0,54.93,10.07,271.0,MOMMARK
284.0,-29.87,31.05,284.0,DURBAN
285.0,62.34,21.21,285.0,KASKINEN
286.0,53.63,-0.19,286.0,IMMINGHAM
288.0,43.08,-70.74,288.0,SEAVEY_ISLAND
289.0,54.95,20.22,289.0,PIONERSKY
299.0,36.95,-76.33,299.0,SEWELLS_POINT
300.0,19.73,-155.06,300.0,HILO
302.0,58.01,7.55,302.0,TREGDE
303.0,28.48,-16.24,303.0,SANTA_CRUZ_DE_TENERIFE_I
310.0,-29.43,153.36,310.0,YAMBA
311.0,38.98,-76.48,311.0,ANNAPOLIS
312.0,68.43,17.43,312.0,NARVIK
313.0,63.43,9.1,313.0,HEIMSJO
314.0,58.21,-6.39,314.0,STORNOWAY
315.0,60.56,27.18,315.0,HAMINA
316.0,30.39,-81.43,316.0,MAYPORT
317.0,42.48,27.48,317.0,BOURGAS
318.0,43.18,27.92,318.0,VARNA
320.0,-32.92,151.8,320.0,NEWCASTLE_I
330.0,55.52,12.89,330.0,KLAGSHAMN
331.0,4.88,-1.75,331.0,TAKORADI
332.0,44.9,-66.98,332.0,EASTPORT
333.0,22.3,114.2,333.0,NORTH_POINT
334.0,51.51,0.72,334.0,SOUTHEND
335.0,51.47,0.37,335.0,TILBURY
336.0,51.5,0.08,336.0,TOWER_PIER
350.0,50.8,-1.11,350.0,PORTSMOUTH
351.0,41.51,-71.33,351.0,NEWPORT
352.0,43.51,16.44,352.0,SPLIT - GRADSKA_LUKA
353.0,45.3,14.53,353.0,BAKAR
359.0,34.92,139.82,359.0,MERA
360.0,38.87,-77.02,360.0,WASHINGTON_DC
361.0,57.14,-2.08,361.0,ABERDEEN_I
362.0,40.79,-73.78,362.0,WILLETS_POINT
363.0,25.77,-80.13,363.0,MIAMI_BEACH
366.0,40.47,-74.01,366.0,SANDY_HOOK
367.0,41.52,-70.67,367.0,WOODS_HOLE
368.0,32.37,-64.7,368.0,ST. GEORGES
369.0,22.55,88.3,369.0,GARDEN_REACH
373.0,40.63,22.93,373.0,THESSALONIKI
374.0,37.94,23.63,374.0,PIRAIEVS
375.0,40.93,24.41,375.0,KAVALLA
376.0,61.13,21.43,376.0,RAUMA
377.0,34.01,-118.5,377.0,SANTA_MONICA
378.0,41.74,-124.18,378.0,CRESCENT_CITY
379.0,44.17,28.67,379.0,CONSTANTZA
384.0,48.55,-123.01,384.0,FRIDAY_HARBOR
385.0,48.37,-124.61,385.0,NEAH_BAY
386.0,-32.15,133.64,386.0,THEVENARD
392.0,47.57,-59.13,392.0,PORT_AUX_BASQUES
393.0,47.57,-52.72,393.0,ST. JOHN'S
394.0,10.3,123.92,394.0,CEBU
395.0,32.03,-80.9,395.0,FORT_PULASKI
396.0,34.23,-77.95,396.0,WILMINGTON
397.0,54.51,13.64,397.0,SASSNITZ
398.0,61.92,5.63,398.0,KJOLSDAL
399.0,36.82,-76.29,399.0,PORTSMOUTH
401.0,58.97,9.88,401.0,NEVLUNGHAVN
405.0,58.3,-134.41,405.0,JUNEAU
407.0,35.02,138.89,407.0,UCHIURA
408.0,38.37,26.14,408.0,KHIOS
409.0,37.95,22.96,409.0,POSIDHONIA
410.0,38.96,20.76,410.0,PREVEZA
411.0,37.02,22.12,411.0,KALAMAI
412.0,38.32,-76.45,412.0,SOLOMON'S_ISLAND
413.0,51.23,2.92,413.0,OOSTENDE
414.0,17.68,83.28,414.0,VISAKHAPATNAM
417.0,21.65,88.05,417.0,SAUGOR/SAGAR
418.0,19.91,-75.15,418.0,GUANTANAMO_BAY
420.0,21.8,72.3,420.0,BHAUNAGAR_I
425.0,69.33,16.13,425.0,ANDENES
426.0,57.05,-135.34,426.0,SITKA
427.0,46.23,-63.12,427.0,CHARLOTTETOWN
428.0,29.14,-83.03,428.0,CEDAR_KEY_II
429.0,41.36,-72.09,429.0,NEW_LONDON
430.0,41.81,-71.4,430.0,PROVIDENCE
431.0,-34.9,-56.25,431.0,MONTEVIDEO
432.0,53.35,-6.22,432.0,DUBLIN
433.0,-34.48,-57.85,433.0,COLONIA
434.0,-34.97,-54.95,434.0,PUNTA_DEL_ESTE
435.0,54.15,-4.47,435.0,DOUGLAS
437.0,37.77,-122.3,437.0,ALAMEDA
438.0,9.97,76.27,438.0,COCHIN
440.0,29.37,-91.39,440.0,EUGENE_ISLAND
444.0,13.55,100.58,444.0,FORT_PHRACHULA_CHOMKLAO
445.0,59.55,-139.73,445.0,YAKUTAT
446.0,7.83,98.43,446.0,KO_TAPHAO_NOI
447.0,58.77,-94.18,447.0,CHURCHILL
448.0,-34.78,138.48,448.0,PORT_ADELAIDE
449.0,13.15,100.82,449.0,KO_SICHANG
453.0,49.48,0.11,453.0,LE_HAVRE
454.0,48.64,-2.03,454.0,ST. MALO
455.0,50.97,1.87,455.0,CALAIS
456.0,3.9,-77.1,456.0,BUENAVENTURA
457.0,47.27,-2.2,457.0,ST. NAZAIRE
458.0,-17.0,-72.12,458.0,MATARANI
460.0,40.53,141.53,460.0,HACHINOHE_I
462.0,37.57,-77.45,462.0,RICHMOND
463.0,39.63,141.97,463.0,MIYAKO_I
464.0,9.97,-84.83,464.0,PUNTARENAS
466.0,46.16,-1.22,466.0,LA_ROCHELLE-LA_PALLICE
467.0,49.65,-1.64,467.0,CHERBOURG
468.0,51.05,2.37,468.0,DUNKERQUE
