gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high
1,BREST,FRANCE,48.38,-4.49,0.15,0.54,1.82,0.17,0.55,1.84
2,SWINOUJSCIE,POLAND,53.92,14.23,0.15,0.58,1.83,0.18,0.61,1.86
3,SHEERNESS,UNITED KINGDOM,51.45,0.74,0.17,0.61,1.87,0.14,0.58,1.83
5,HOLYHEAD,UNITED KINGDOM,53.31,-4.62,0.13,0.54,1.77,0.13,0.54,1.76
7,CUXHAVEN_2,GERMANY,53.87,8.72,0.2,0.64,1.89,0.13,0.57,1.82
8,WISMAR_2,GERMANY,53.9,11.46,0.05,0.64,1.93,0.05,0.63,1.93
9,MAASSLUIS,"NETHERLANDS, KINGDOM OF THE",51.92,4.25,0.16,0.6,1.86,0.13,0.57,1.84
10,SAN_FRANCISCO,UNITED STATES,37.81,-122.47,0.23,0.53,2.02,0.21,0.5,1.99
11,WARNEMUNDE_2,GERMANY,54.17,12.1,0.17,0.59,1.83,0.18,0.6,1.85
12,NEW_YORK,UNITED STATES,40.7,-74.01,0.4,0.81,2.21,0.26,0.67,2.07
13,TRAVEMUNDE,GERMANY,53.96,10.87,0.19,0.63,1.88,0.16,0.61,1.86
14,HELSINKI,FINLAND,60.15,24.96,-0.22,0.24,1.46,0.14,0.59,1.81
15,LIVERPOOL_GEORGES_AND_PRINCES_PIERS,UNITED KINGDOM,53.4,-3.0,0.11,0.54,1.75,0.13,0.55,1.77
16,LYOKKI,FINLAND,60.85,21.18,-0.5,-0.04,1.16,0.12,0.58,1.79
17,LYPYRTTI,FINLAND,60.6,21.23,-0.46,0.0,1.21,0.13,0.59,1.8
18,JUNGFRUSUND,FINLAND,59.95,22.37,-0.31,0.16,1.38,0.13,0.59,1.82
20,VLISSINGEN,"NETHERLANDS, KINGDOM OF THE",51.44,3.6,0.14,0.58,1.84,0.14,0.57,1.84
21,ABERDEEN_II,UNITED KINGDOM,57.15,-2.08,0.0,0.5,1.71,0.07,0.56,1.78
22,HOEK_VAN_HOLLAND,"NETHERLANDS, KINGDOM OF THE",51.98,4.12,0.21,0.65,1.92,0.13,0.57,1.84
23,DEN_HELDER,"NETHERLANDS, KINGDOM OF THE",52.96,4.75,0.14,0.57,1.84,0.13,0.57,1.83
