location,lat,lon,gauge_id,gauge_name,low-end,low,central,high,high-end
1,48.38,-4.49,1,BREST,0.18,0.3,0.55,0.95,1.63
2,53.92,14.23,2,SWINOUJSCIE,0.19,0.32,0.61,1.04,1.68
3,51.45,0.74,3,SHEERNESS,0.15,0.29,0.58,1.0,1.65
5,53.31,-4.62,5,HOLYHEAD,0.14,0.28,0.54,0.93,1.58
7,53.87,8.72,7,CUXHAVEN_2,0.14,0.28,0.57,1.0,1.64
8,53.9,11.46,8,WISMAR_2,0.06,0.25,0.63,1.13,1.77
9,51.92,4.25,9,MAASSLUIS,0.14,0.28,0.57,1.0,1.65
10,37.81,-122.47,10,SAN_FRANCISCO,0.21,0.3,0.5,0.89,1.73
11,54.17,12.1,11,WARNEMUNDE_2,0.19,0.32,0.6,1.03,1.67
12,40.7,-74.01,12,NEW_YORK,0.26,0.38,0.67,1.1,1.84
13,53.96,10.87,13,TRAVEMUNDE,0.17,0.31,0.61,1.05,1.69
14,60.15,24.96,14,HELSINKI,0.15,0.29,0.59,1.02,1.64
15,53.4,-3.0,15,LIVERPOOL_GEORGES_AND_PRINCES_PIERS,0.14,0.28,0.55,0.94,1.58
16,60.85,21.18,16,LYOKKI,0.14,0.28,0.58,1.01,1.62
17,60.6,21.23,17,LYPYRTTI,0.14,0.29,0.59,1.01,1.63
18,59.95,22.37,18,JUNGFRUSUND,0.14,0.29,0.59,1.03,1.65
20,51.44,3.6,20,VLISSINGEN,0.14,0.28,0.57,1.0,1.65
21,57.15,-2.08,21,ABERDEEN_II,0.09,0.26,0.56,0.98,1.61
22,51.98,4.12,22,HOEK_VAN_HOLLAND,0.14,0.28,0.57,1.0,1.65
23,52.96,4.75,23,DEN_HELDER,0.14,0.28,0.57,1.0,1.65
24,53.33,6.93,24,DELFZIJL,0.14,0.28,0.58,1.01,1.65
25,53.18,5.41,25,HARLINGEN,0.14,0.28,0.57,1.0,1.64
26,56.53,20.98,26,LIEPAJA,0.17,0.3,0.61,1.04,1.68
27,59.78,21.37,27,UTO,0.14,0.29,0.59,1.02,1.65
28,59.77,22.95,28,RUSSARO,0.15,0.29,0.59,1.03,1.65
29,60.12,25.42,29,SODERSKAR,0.15,0.29,0.59,1.03,1.64
30,63.07,20.8,30,RONNSKAR,0.11,0.27,0.57,0.99,1.59
31,59.2,17.62,31,NEDRE_SODERTALJE,0.15,0.29,0.59,1.01,1.63
32,52.46,4.55,32,IJMUIDEN,0.14,0.28,0.57,1.01,1.65
33,59.68,10.6,33,OSCARSBORG,0.14,0.29,0.56,0.99,1.6
34,63.43,10.43,34,TRONDHEIM,0.02,0.2,0.49,0.89,1.48
37,57.05,24.03,37,DAUGAVGRIVA,0.17,0.3,0.61,1.05,1.68
39,45.42,12.33,39,VENEZIA,0.15,0.26,0.5,0.88,1.55
41,42.17,41.68,41,POTI,0.04,0.19,0.46,0.84,1.53
42,44.62,33.53,42,SEVASTOPOL,0.04,0.2,0.46,0.94,1.62
43,18.92,72.83,43,MUMBAI,0.2,0.28,0.51,0.95,1.74
44,12.79,44.97,44,ADEN,0.25,0.33,0.55,0.97,1.74
45,68.21,14.48,45,KABELVAG,0.01,0.22,0.51,0.91,1.48
47,58.97,5.73,47,STAVANGER,0.09,0.27,0.58,1.01,1.63
48,22.53,88.33,48,KIDDERPORE,0.18,0.28,0.5,0.91,1.69
51,41.63,41.7,51,BATUMI,0.04,0.19,0.46,0.85,1.53
52,38.68,-9.42,52,CASCAIS,0.23,0.34,0.58,0.98,1.7
57,63.08,21.57,57,VAASA,0.11,0.27,0.57,0.99,1.59
58,60.4,5.32,58,BERGEN,0.08,0.26,0.56,0.99,1.59
59,44.4,8.9,59,GENOVA,0.18,0.28,0.53,0.91,1.58
61,43.28,5.35,61,MARSEILLE,0.19,0.29,0.54,0.92,1.61
62,59.91,10.73,62,OSLO,0.14,0.29,0.56,0.98,1.59
63,60.03,19.88,63,KOBBAKLINTAR,0.14,0.29,0.59,1.01,1.63
