city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,population_2050_1000s,coast_distance_km,city_short,city_region,location,gauge_id,gauge_name,gauge_distance_km,lat,lon,low-end,low,central,high,high-end
472,Buenos Aires,Argentina,-34.65,-58.51,14018,14236,13,Buenos Aires,South America,832,832,PALERMO,14,-34.57,-58.4,0.21,0.29,0.52,0.89,1.62
3486,Shenzhen,China,22.71,114.01,13878,14661,20,Shenzhen,East Asia,1366,1366,TSIM_BEI_TSUI,24,22.49,114.01,0.24,0.33,0.59,0.98,1.8
7266,Chennai,India,13.04,80.2,11153,11757,7,Chennai,South Asia,205,205,CHENNAI,12,13.1,80.3,0.21,0.31,0.54,0.98,1.8
8056,Kolkata,India,22.59,88.35,22550,23768,47,Kolkata,South Asia,48,48,KIDDERPORE,7,22.53,88.33,0.18,0.28,0.5,0.91,1.69
8402,Mumbai,India,19.12,72.88,20203,23059,4,Mumbai,South Asia,43,43,MUMBAI,23,18.92,72.83,0.2,0.28,0.51,0.95,1.74
10595,Osaka,Japan,34.72,135.48,12964,10449,5,Osaka,East Asia,1099,1099,OSAKA,8,34.66,135.43,0.27,0.36,0.62,1.08,1.94
10646,Tōkyō (Tokyo),Japan,35.67,139.66,33413,30658,11,Tokyo,East Asia,952,952,SIBAURA,9,35.63,139.75,0.25,0.36,0.62,1.1,1.97
11019,Kuala Lumpur,Malaysia,3.1,101.63,8444,10627,30,Kuala Lumpur,Southeast Asia,1591,1591,PELABUHAN_KELANG,31,3.05,101.36,0.24,0.34,0.58,0.99,1.83
12883,Karachi,Pakistan,24.9,67.07,21423,32593,9,Karachi,South Asia,204,204,KARACHI,14,24.81,66.97,0.13,0.21,0.44,0.88,1.65
13250,Lima,Peru,-12.04,-77.01,10580,12358,9,Lima,South America,1274,1274,CALLAO_2,15,-12.05,-77.15,0.25,0.34,0.57,0.96,1.77
13356,Manila,Philippines,14.59,121.02,24735,27120,5,Manila,Southeast Asia,145,145,MANILA,5,14.58,120.97,0.2,0.32,0.6,1.01,1.87
13579,Seoul,Republic of Korea,37.5,126.95,22490,21225,7,Seoul,East Asia,956,956,INCHEON,32,37.45,126.59,0.25,0.34,0.58,1.03,1.86
14878,Krung Thep Maha Nakhon (Bangkok),Thailand,13.76,100.55,18180,20462,18,Bangkok,Southeast Asia,444,444,FORT_PHRACHULA_CHOMKLAO,24,13.55,100.58,0.24,0.33,0.57,0.97,1.78
15517,London,United Kingdom,51.51,-0.13,10416,11869,27,London,Europe,336,336,TOWER_PIER,14,51.5,0.08,0.15,0.29,0.57,0.99,1.64
15602,Dar es Salaam,United Republic of Tanzania,-6.83,39.22,7795,13160,7,Dar es Salaam,Africa,1600,1600,ZANZIBAR,76,-6.15,39.18,0.28,0.36,0.6,1.02,1.82
15959,Los Angeles,United States of America,33.98,-118.12,12740,13862,25,Los Angeles,North America,245,245,LOS_ANGELES,33,33.72,-118.27,0.21,0.29,0.5,0.89,1.73
16006,New York City,United States of America,40.74,-73.93,13920,13225,2,New York City,North America,12,12,NEW_YORK,8,40.7,-74.01,0.26,0.38,0.67,1.1,1.84
16422,Ho Chi Minh City,Viet Nam,10.82,106.69,14053,17201,28,Ho Chi Minh City,Southeast Asia,1495,1495,VUNGTAU,69,10.33,107.07,0.23,0.33,0.58,0.98,1.82
