location,lat,lon,gauge_id,gauge_name,gauge_country,low,central,high,high-end
1002500410,65.0,41.0,,,,0.3,0.62,1.05,1.83
1002900240,61.0,24.0,,,,0.28,0.59,1.01,1.79
1003000110,60.0,11.0,,,,0.29,0.56,0.98,1.75
1003000250,60.0,25.0,,,,0.29,0.59,1.03,1.82
1003000300,60.0,30.0,,,,0.31,0.61,1.0,1.8
1003100180,59.0,18.0,,,,0.29,0.59,1.02,1.81
1003100250,59.0,25.0,,,,0.29,0.6,1.03,1.82
1003200120,58.0,12.0,,,,0.3,0.58,1.0,1.79
1003300240,57.0,24.0,,,,0.3,0.61,1.05,1.85
1003400130,56.0,13.0,,,,0.31,0.59,1.02,1.83
1003403560,56.0,-4.0,,,,0.27,0.55,0.95,1.75
1003403570,56.0,-3.0,,,,0.27,0.56,0.97,1.78
1003500210,55.0,21.0,,,,0.31,0.61,1.05,1.86
1003500250,55.0,25.0,,,,0.3,0.61,1.06,1.86
1003503540,55.0,-6.0,,,,0.27,0.54,0.92,1.74
1003503580,55.0,-2.0,,,,0.28,0.57,0.99,1.8
1003503590,55.0,-1.0,,,,0.28,0.57,1.0,1.81
1003600000,54.0,0.0,,,,0.28,0.58,1.01,1.84
1003600100,54.0,10.0,,,,0.31,0.59,1.02,1.83
1003600190,54.0,19.0,,,,0.31,0.61,1.05,1.86
1003600240,54.0,24.0,,,,0.31,0.61,1.06,1.87
1003603570,54.0,-3.0,,,,0.28,0.54,0.94,1.76
1003603580,54.0,-2.0,,,,0.28,0.56,0.97,1.79
1003700090,53.0,9.0,,,,0.28,0.58,1.01,1.83
1003700130,53.0,13.0,,,,0.32,0.61,1.04,1.85
1003700150,53.0,15.0,,,,0.32,0.61,1.05,1.86
1003700180,53.0,18.0,,,,0.31,0.62,1.06,1.87
1003703540,53.0,-6.0,,,,0.28,0.54,0.93,1.77
1003703570,53.0,-3.0,,,,0.28,0.55,0.94,1.77
1003703580,53.0,-2.0,,,,0.28,0.56,0.97,1.79
1003703590,53.0,-1.0,,,,0.29,0.58,0.99,1.82
1003800000,52.0,0.0,,,,0.29,0.58,1.0,1.82
1003800010,52.0,1.0,,,,0.28,0.58,1.01,1.84
1003800040,52.0,4.0,,,,0.28,0.57,1.0,1.84
1003800050,52.0,5.0,,,,0.28,0.58,1.01,1.83
1003800070,52.0,7.0,,,,0.28,0.58,1.01,1.83
1003800080,52.0,8.0,,,,0.28,0.58,1.02,1.83
1003800090,52.0,9.0,,,,0.29,0.58,1.02,1.84
1003800100,52.0,10.0,,,,0.29,0.59,1.02,1.84
