city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,coast_distance_km,location,gauge_id,gauge_name,gauge_distance_km,lat,lon,low-end,low,central,high,high-end
24,Buenos Aires,Argentina,-34.61,-58.4,15752,3,157,157,BUENOS_AIRES,3,-34.6,-58.37,0.21,0.3,0.52,0.9,1.85
27,La Plata,Argentina,-34.92,-57.95,933,9,433,433,COLONIA,50,-34.48,-57.85,0.2,0.29,0.51,0.89,1.85
28,Mar Del Plata,Argentina,-38.0,-57.56,698,2,857,857,MAR_DEL_PLATA,4,-38.03,-57.53,0.16,0.25,0.47,0.85,1.81
41,Adelaide,Australia,-34.93,138.6,1393,9,448,448,PORT_ADELAIDE,20,-34.78,138.48,0.26,0.35,0.57,0.92,1.91
42,Brisbane,Australia,-27.47,153.03,2568,7,822,822,BRISBANE,18,-27.37,153.17,0.2,0.3,0.53,0.96,2.01
44,Central Coast,Australia,-33.42,151.4,347,3,549,549,CAMP_COVE,47,-33.83,151.28,0.18,0.28,0.53,0.97,1.98
45,Gold Coast-Tweed Head,Australia,-28.0,153.43,753,1,1704,1704,GOLD_COAST_SEAWAY_2,6,-27.95,153.42,0.21,0.3,0.54,0.97,2.01
46,Melbourne,Australia,-37.81,144.96,5392,4,1033,1033,STONY_POINT,66,-38.37,145.22,0.16,0.26,0.49,0.85,1.82
47,Newcastle-Maitland,Australia,-32.92,151.74,470,2,837,837,NEWCASTLE_V,5,-32.92,151.79,0.23,0.32,0.57,1.02,2.03
48,Perth,Australia,-31.95,115.85,2169,2,111,111,FREMANTLE,16,-32.06,115.74,0.23,0.34,0.58,0.96,2.01
49,Sunshine Coast,Australia,-26.66,153.1,376,1,1493,1493,MOOLOOLABA_2,4,-26.68,153.13,0.2,0.29,0.53,0.96,2.01
50,Sydney,Australia,-33.87,151.21,5249,1,196,196,SYDNEY,3,-33.85,151.23,0.18,0.27,0.53,0.97,1.97
51,Wollongong,Australia,-34.42,150.89,319,1,831,831,PORT_KEMBLA,5,-34.47,150.91,0.16,0.26,0.52,0.95,1.96
57,Barisal,Bangladesh,22.7,90.37,565,20,1496,1496,CHARCHANGA,88,22.22,91.05,0.21,0.37,0.66,1.12,2.13
59,Chittagong,Bangladesh,22.33,91.84,5653,6,1496,1496,CHARCHANGA,82,22.22,91.05,0.21,0.37,0.66,1.12,2.13
74,Antwerpen,Belgium,51.22,4.4,1065,18,20,20,VLISSINGEN,61,51.44,3.6,0.14,0.29,0.58,1.01,1.84
75,Bruxelles-Brussel,Belgium,50.85,4.35,2142,57,20,20,VLISSINGEN,84,51.44,3.6,0.14,0.29,0.58,1.01,1.84
77,Gent,Belgium,51.05,3.72,479,32,20,20,VLISSINGEN,44,51.44,3.6,0.14,0.29,0.58,1.01,1.84
92,Belém,Brazil,-1.46,-48.48,2454,1,580,580,BELEM,2,-1.45,-48.5,0.21,0.31,0.57,0.96,2.0
106,Feira De Santana,Brazil,-12.27,-38.97,637,46,578,578,SALVADOR,92,-12.97,-38.52,0.22,0.32,0.58,0.98,2.05
107,Florianópolis,Brazil,-27.6,-48.55,1324,1,542,542,IMBITUBA,71,-28.23,-48.65,0.23,0.33,0.59,0.99,2.02
131,Recife,Brazil,-8.05,-34.88,4344,1,556,556,RECIFE,1,-8.05,-34.87,0.2,0.31,0.57,0.96,2.06
134,Rio de Janeiro,Brazil,-22.9,-43.21,13923,1,1032,1032,ILHA_FISCAL,4,-22.9,-43.17,0.22,0.32,0.57,0.97,2.03
135,Salvador,Brazil,-12.97,-38.51,4030,2,578,578,SALVADOR,1,-12.97,-38.52,0.22,0.32,0.58,0.98,2.05
149,Varna,Bulgaria,43.22,27.92,334,3,318,318,VARNA,4,43.18,27.92,0.0,0.16,0.43,0.9,1.76
163,Halifax,Canada,44.65,-63.58,426,0,96,96,HALIFAX,2,44.67,-63.58,0.35,0.5,0.82,1.29,2.22
174,Vancouver,Canada,49.25,-123.12,2708,3,175,175,VANCOUVER,3,49.28,-123.12,0.05,0.14,0.33,0.67,1.7
175,Victoria,Canada,48.43,-123.37,405,2,166,166,VICTORIA,1,48.42,-123.37,0.09,0.18,0.38,0.72,1.76
180,Antofagasta,Chile,-23.65,-70.4,466,2,510,510,ANTOFAGASTA_2,0,-23.65,-70.4,0.05,0.14,0.36,0.72,1.75
181,Concepción,Chile,-36.83,-73.05,929,4,571,571,TALCAHUANO,17,-36.68,-73.1,0.12,0.21,0.41,0.74,1.7
