location,lat,lon,gauge_id,gauge_name,gauge_country,low-end,low,central,high,high-end
1002000190,70.0,19.0,,,,-0.19,0.02,0.32,0.72,1.29
1002100330,69.0,33.0,,,,-0.01,0.16,0.48,0.89,1.48
1002200330,68.0,33.0,,,,-0.11,0.07,0.39,0.81,1.41
1002500250,65.0,25.0,,,,-0.71,-0.54,-0.23,0.19,0.79
1002500400,65.0,40.0,,,,0.07,0.24,0.59,1.05,1.66
1002500410,65.0,41.0,,,,0.12,0.29,0.64,1.11,1.71
1002600200,64.0,20.0,,,,-0.77,-0.6,-0.3,0.12,0.71
1002603380,64.0,-22.0,,,,-0.37,0.07,0.28,0.58,1.07
1002700100,63.0,10.0,,,,-0.31,-0.13,0.15,0.56,1.15
1002900260,61.0,26.0,,,,-0.27,-0.12,0.18,0.61,1.22
1002902100,61.0,-150.0,,,,-0.79,-0.59,-0.34,-0.1,0.66
1003000050,60.0,5.0,,,,-0.0,0.18,0.48,0.9,1.51
1003000100,60.0,10.0,,,,-0.25,-0.09,0.2,0.62,1.23
1003000110,60.0,11.0,,,,-0.29,-0.14,0.14,0.56,1.16
1003000170,60.0,17.0,,,,-0.44,-0.29,0.0,0.42,1.04
1003000180,60.0,18.0,,,,-0.44,-0.29,0.0,0.43,1.04
1003000220,60.0,22.0,,,,-0.32,-0.17,0.14,0.57,1.19
1003000250,60.0,25.0,,,,-0.19,-0.05,0.26,0.69,1.31
1003000300,60.0,30.0,,,,0.09,0.2,0.51,0.91,1.53
1003000310,60.0,31.0,,,,0.09,0.21,0.53,0.94,1.57
1003001510,60.0,151.0,,,,-0.09,0.12,0.5,1.02,1.79
1003100060,59.0,6.0,,,,-0.01,0.16,0.47,0.91,1.52
1003100110,59.0,11.0,,,,-0.17,-0.03,0.25,0.67,1.28
1003100150,59.0,15.0,,,,-0.28,-0.14,0.15,0.57,1.19
1003100160,59.0,16.0,,,,-0.29,-0.15,0.14,0.57,1.18
1003100170,59.0,17.0,,,,-0.29,-0.15,0.14,0.57,1.18
1003100180,59.0,18.0,,,,-0.29,-0.14,0.15,0.58,1.2
1003100250,59.0,25.0,,,,-0.08,0.06,0.37,0.81,1.43
1003100270,59.0,27.0,,,,0.06,0.2,0.51,0.95,1.57
1003100280,59.0,28.0,,,,0.09,0.22,0.53,0.96,1.58
1003200080,58.0,8.0,,,,-0.01,0.15,0.44,0.87,1.49
1003200120,58.0,12.0,,,,-0.12,0.02,0.29,0.72,1.34
1003200130,58.0,13.0,,,,-0.13,0.01,0.29,0.73,1.35
1003200160,58.0,16.0,,,,-0.15,-0.01,0.28,0.71,1.33
1003300100,57.0,10.0,,,,0.06,0.2,0.48,0.91,1.54
1003300210,57.0,21.0,,,,0.09,0.22,0.53,0.97,1.6
1003300240,57.0,24.0,,,,0.1,0.24,0.55,0.99,1.62
1003303580,57.0,-2.0,,,,0.02,0.2,0.5,0.92,1.55
1003400100,56.0,10.0,,,,0.11,0.25,0.53,0.96,1.59
1003400120,56.0,12.0,,,,-0.1,0.14,0.55,1.07,1.71
1003400130,56.0,13.0,,,,0.08,0.21,0.49,0.92,1.55
1003400210,56.0,21.0,,,,0.15,0.28,0.59,1.03,1.66
1003403550,56.0,-5.0,,,,-0.03,0.13,0.4,0.79,1.42
1003403560,56.0,-4.0,,,,-0.01,0.15,0.43,0.84,1.46
1003403570,56.0,-3.0,,,,0.02,0.19,0.48,0.89,1.52
1003500090,55.0,9.0,,,,0.14,0.28,0.57,1.0,1.64
1003500100,55.0,10.0,,,,0.15,0.28,0.57,1.0,1.63
1003500180,55.0,18.0,,,,0.18,0.31,0.61,1.05,1.69
1003500210,55.0,21.0,,,,0.2,0.33,0.64,1.08,1.71
1003503530,55.0,-7.0,,,,-0.03,0.13,0.4,0.8,1.43
1003503540,55.0,-6.0,,,,-0.02,0.13,0.4,0.79,1.42
