city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,coast_distance_km,city_short,location,lat,lon,low-end,low,central,high,high-end
19,Luanda,Angola,-8.84,13.23,10028,2,Luanda,1009900130,-9.0,13.0,0.18,0.32,0.62,1.1,2.16
24,Buenos Aires,Argentina,-34.61,-58.4,15752,3,Buenos Aires,1012503020,-35.0,-58.0,0.2,0.28,0.51,0.89,1.85
59,Chittagong,Bangladesh,22.33,91.84,5653,6,Chittagong,1006800920,22.0,92.0,-0.11,0.11,0.5,1.04,2.03
61,Dhaka,Bangladesh,23.71,90.41,24653,109,Dhaka,1006600900,24.0,90.0,-0.13,0.09,0.48,1.01,1.98
134,Rio de Janeiro,Brazil,-22.9,-43.21,13923,1,Rio de Janeiro,1011303170,-23.0,-43.0,0.22,0.32,0.57,0.98,2.03
236,Dalian,China,38.91,121.6,6347,2,Dalian,1005101220,39.0,122.0,-0.09,0.13,0.54,1.13,2.14
251,Dongguan,China,23.02,113.74,7773,13,Dongguan,1006701140,23.0,114.0,-0.08,0.14,0.56,1.09,2.12
264,Foshan,China,23.02,113.12,7817,27,Foshan,1006701130,23.0,113.0,-0.09,0.13,0.55,1.08,2.11
283,"Guangzhou, Guangdong",China,23.13,113.26,14879,12,Guangzhou,1006701130,23.0,113.0,-0.09,0.13,0.55,1.08,2.11
298,Hangzhou,China,30.29,120.16,8591,7,Hangzhou,1006001200,30.0,120.0,-0.09,0.13,0.54,1.11,2.14
405,"Nanjing, Jiangsu",China,32.05,118.79,10175,120,Nanjing,1005801190,32.0,119.0,-0.09,0.13,0.54,1.11,2.13
428,Qingdao,China,36.1,120.37,6218,3,Qingdao,1005401200,36.0,120.0,-0.1,0.12,0.53,1.11,2.12
449,Shanghai,China,31.22,121.46,30482,16,Shanghai,1005901210,31.0,121.0,-0.08,0.14,0.54,1.12,2.15
479,"Suzhou, Jiangsu",China,31.3,120.59,8593,58,Suzhou,1005901210,31.0,121.0,-0.08,0.14,0.54,1.12,2.15
489,Tianjin,China,39.11,117.19,14704,46,Tianjin,1005101170,39.0,117.0,-0.16,0.06,0.47,1.05,2.04
